관광지,url,촬영장소,검색 키워드
국립 청태산자연휴양림,http://tong.visitkorea.or.kr/cms2/website/10/2541110.jpg,강원도 횡성군 둔내면,"국립 청태산 자연휴양림,강원도 횡성군,2017 하반기 기획사진,산림,숲"
국립검마산자연휴양림,http://tong.visitkorea.or.kr/cms2/website/29/1859929.jpg,경상북도 영양,"국립검마산자연휴양림,숲,휴양림"
국립경주박물관,http://tong.visitkorea.or.kr/cms2/website/99/978299.jpg,경상북도 경주,"국립경주박물관,수막새기와 "
국립고궁박물관,http://tong.visitkorea.or.kr/cms2/website/57/1004457.jpg,서울 경복궁,국립고궁박물관
국립고흥청소년우주체험센터,http://tong.visitkorea.or.kr/cms2/website/80/1670480.jpg,전라남도 고흥,"국립고흥청소년우주체험센터,체험관"
국립공주박물관,http://tong.visitkorea.or.kr/cms2/website/25/2724925.jpg,충청남도 공주시 웅진동,"국립공주박물관,충청남도 공주시,전시관,드론촬영,드론사진,항공촬영"
국립과천과학관,http://tong.visitkorea.or.kr/cms2/website/44/1808044.jpg,경기도 과천,국립과천과학관
국립김해박물관,http://tong.visitkorea.or.kr/cms2/website/71/2649571.jpg,경상남도 김해시 구산동,"국립김해박물관,경상남도 김해시,국립박물관,전시관"
국립대구과학관,http://tong.visitkorea.or.kr/cms2/website/09/2632209.jpg,대구광역시 달성군 유가읍,"국립대구과학관,대구광역시 달성군,전시관"
국립대구박물관,http://tong.visitkorea.or.kr/cms2/website/23/2556823.jpg,대구광역시 수성구 황금동,"국립대구박물관,대구광역시 수성구,전시관,전시실"
국립등대박물관,http://tong.visitkorea.or.kr/cms2/website/87/2644187.jpg,경상북도 포항시 남구,"국립등대박물관,경상북도 포항시,전시관"
국립무형유산원,http://tong.visitkorea.or.kr/cms2/website/37/1933937.jpg,전주시,"국립문화유산원,문화유산원,전주국립유산원,전라북도 전주시,전라북도전주시"
국립민속박물관,http://tong.visitkorea.or.kr/cms2/website/18/1806918.jpg,서울특별시,"경복궁,국립민속박물관,봄꽃"
국립부여박물관,http://tong.visitkorea.or.kr/cms2/website/60/2006460.jpg,충청남도 부여,"국립부여박물관,부여박물관,박물관,부여,백제시대"
국립산악박물관,http://tong.visitkorea.or.kr/cms2/website/89/2562589.jpg,강원도 속초시 노학동,"국립산악박물관,강원도 속초시,산악체험,클라이밍,인공암벽등반"
국립생태원,http://tong.visitkorea.or.kr/cms2/website/88/2679388.jpg,충천남도 서천군 마서면,"국립생태원 전경,충청남도 서천군,에코리움,박물관,전시관,드론촬영,드론사진,항공촬영"
국립수목원,http://tong.visitkorea.or.kr/cms2/website/86/1832586.jpg,경기도 포천,"국립수목원,호랑이"
국립아시아문화전당,http://tong.visitkorea.or.kr/cms2/website/90/2810890.jpg,광주광역시 동구 광산동,"국립아시아문화전당,광주광역시 동구,ACC,전시관"
국립영덕청소년해양환경체험센터,http://tong.visitkorea.or.kr/cms2/website/04/1908804.jpg,경상북도 영덕군,"국립영덕청소년해양환경체험센터,영덕 해양체험관,영덕,영덕군,경상북도 영덕군"
국립익산박물관,http://tong.visitkorea.or.kr/cms2/website/62/2613262.jpg,전라북도 익산시 금마면,"국립익산박물관,전라북도 익산시,국립미륵사지 유물전시관,미륵사지 출토 석조물"
국립전주박물관,http://tong.visitkorea.or.kr/cms2/website/46/994546.jpg,전북 전주 ,국립전주박물관
국립진주박물관,http://tong.visitkorea.or.kr/cms2/website/76/2614076.jpg,경상남도 진주시 남성동,"국립진주박물관 전경,경상남도 진주시,드론촬영,드론사진,항공촬영,진주성"
국립청주박물관,http://tong.visitkorea.or.kr/cms2/website/57/1236957.jpg,충청북도 청주,국립청주박물관
국립춘천박물관,http://tong.visitkorea.or.kr/cms2/website/53/2437753.jpg,강원도 춘천시 우석로,"국립춘천박물관,강원도 춘천시"
국립해양박물관,http://tong.visitkorea.or.kr/cms2/website/20/2500020.jpg,부산광역시 영도구 동삼동,"국립해양박물관,부산광역시 영도구"
국립해양생물자원관,http://tong.visitkorea.or.kr/cms2/website/22/1954122.jpg,서천군충청남도,"국립해양생물자원관,해양생물자원관,해양생물전시,해양생물,서천,충청남도 서천군,충청남도서천군"
국립해양유물전시관,http://tong.visitkorea.or.kr/cms2/website/97/2606197.jpg,전라남도 목포시 용해동,"해양유물전시관,전라남도 목포시,박물관,전시실"
국립횡성숲체원,http://tong.visitkorea.or.kr/cms2/website/26/2541226.jpg,강원도 횡성군 둔내면,"국립횡성숲체원 가을,강원도 횡성군,휴양림,숲,추경,단풍"
국민대학교,http://tong.visitkorea.or.kr/cms2/website/10/1481810.jpg,서울,"국민대학교 박물관,캠퍼스,종합복지관"
국민대학교 박물관,http://tong.visitkorea.or.kr/cms2/website/48/1481548.jpg,서울,"국민대학교 박물관,전시관"
국사봉전망대,http://tong.visitkorea.or.kr/cms2/website/70/2820270.jpg,전라북도 임실군 운암면,"국사봉전망대,전라북도 임실군,임실 전망대,옥정호,인공호수,붕어섬,드론촬영,드론사진,항공촬영,파노라마"
국수,http://tong.visitkorea.or.kr/cms2/website/00/1862000.jpg,제주도 향촌,"고기국수,향촌,국수,제주"
국순당,http://tong.visitkorea.or.kr/cms2/website/28/1278228.jpg,강원도 횡성,"국순당 횡성공장,주향로 전시실"
국제과학홍보관,http://tong.visitkorea.or.kr/cms2/website/52/1769152.jpg,인천광역시,"국제과학홍보관,전시관,송도신도시,송도국제도시"
국제그린카전시회,http://tong.visitkorea.or.kr/cms2/website/88/1448088.jpg,광주광역시 김대중컨벤션센터,"국제그린카전시회,미래자동차,기술발전,자전거"
국청사,http://tong.visitkorea.or.kr/cms2/website/09/1203509.jpg,경기도 광주시,"국청사,남한산성 사찰"
국토정중앙 휘몰이탑,http://tong.visitkorea.or.kr/cms2/website/91/2025891.jpg,강원도 양구군,"국토정중앙 휘몰이탑,강원도,양구,국토정중앙,휘모리"
국토정중앙천문대,http://tong.visitkorea.or.kr/cms2/website/13/2025813.jpg,강원도 양구군,"국토정중앙천문대,강원도,양구,천문대"
국회의사당,http://tong.visitkorea.or.kr/cms2/website/10/2710710.jpg,서울특별시 영등포구,"국회의사당 야경,서울특별시 영등포구,서울시,서울전경,서울야경"
군산 계정면 구 일본인농장 창고,http://tong.visitkorea.or.kr/cms2/website/53/1793053.jpg,전라북도 군산,"군산 개정면 구 일본인농장 창고,시마타니금고,근대문화유산"
군산 근대건축관,http://tong.visitkorea.or.kr/cms2/website/14/2811814.jpg,전라북도 군산시 장미동,"군산 근대건축관,전라북도 군산시,구 조선은행 군산지점,국가등록문화재 제374호,전시관,군산 근대시간여행 코스"
군산 근대미술관,http://tong.visitkorea.or.kr/cms2/website/17/2811817.jpg,전라북도 군산시 장미동,"군산 근대미술관,전라북도 군산시,구 일본제18은행 군산지점,국가등록문화재 제372호,군산 근대시간여행 코스"
군산 근대역사 체험공간,http://tong.visitkorea.or.kr/cms2/website/39/1793239.jpg,전라북도 군산,군산 근대역사 체험공간
군산 동국사,http://tong.visitkorea.or.kr/cms2/website/19/2811819.jpg,전라북도 군산시 금광동,"군산 동국사,전라북도 군산시,일본식 사찰,절,종교,불교,군산 동국사 대웅전,국가등록문화재 제64호,군산 근대시간여행 코스,파노라마"
군산 명신슈퍼,http://tong.visitkorea.or.kr/cms2/website/15/2649215.jpg,전라북도 군산시 신흥동,"군산 명신슈퍼,전라북도 군산시"
군산 발산리 석등,http://tong.visitkorea.or.kr/cms2/website/35/1793635.jpg,전라북도 군산,"군산 발산리 석등,보물 제234호"
군산 발산리 오층석탑,http://tong.visitkorea.or.kr/cms2/website/91/1793691.jpg,전라북도 군산,"군산 발산리 오층석탑,5층석탑,보물 제276호"
군산 발산리 육각부도,http://tong.visitkorea.or.kr/cms2/website/44/1793644.jpg,전라북도 군산,군산 발산리 육각부도
군산 사가와가옥,http://tong.visitkorea.or.kr/cms2/website/61/1793661.jpg,전라북도 군산,"군산 사가와가옥,일본식 가옥,전당포"
군산 선유도,http://tong.visitkorea.or.kr/cms2/website/44/2812244.jpg,전라북도 군산시 옥도면,"군산 선유도,전라북도 군산시,고군산군도,섬,선유도해수욕장,선유도해변"
군산 신흥동 일본식가옥,http://tong.visitkorea.or.kr/cms2/website/36/2649236.jpg,전라북도 군산시 신흥동,"군산 신흥동 일본식가옥,전라북도 군산시,등록문화재 제183호,군산 히쓰로가옥,영화 촬영지,드라마 촬영지,군산 근대시간여행 코스"
군산 영화의 거리,http://tong.visitkorea.or.kr/cms2/website/82/2813982.jpg,전라북도 군산시,"군산 영화의 거리,전라북도 군산시,군산 근대시간여행 코스"
군산 축산리 유적,http://tong.visitkorea.or.kr/cms2/website/70/1793670.jpg,전라북도 군산,"군산 축산리 유적,돌널무덤,독널무덤"
군산 테디베어뮤지엄,http://tong.visitkorea.or.kr/cms2/website/47/2649247.jpg,전라북도 군산시 월명동,"군산 테디베어뮤지엄,전라북도 군산시,군산 테디베어 박물관,전시관"
군산 항쟁관,http://tong.visitkorea.or.kr/cms2/website/59/2649259.jpg,전라북도 군산시 월명동,"군산 항쟁관,전라북도 군산시,전시관,군산 근대시간여행 코스"
군산 해망굴,http://tong.visitkorea.or.kr/cms2/website/59/2811959.jpg,전라북도 군산시 해망동,"군산 해망굴,전라북도 군산시,터널,국가등록문화재 제184호,군산 근대시간여행 코스"
군산 히로쓰가옥,http://tong.visitkorea.or.kr/cms2/website/26/2017126.jpg,전라북도 군산시,"히로쓰가옥,군산 히로쓰가옥,군산,근대문화유산,군산 신흥동 일본식가옥,일본식가옥,국가등록문화재 제183호,영화 촬영지,드라마 촬영지"
군산3.1운동기념관,http://tong.visitkorea.or.kr/cms2/website/77/1792977.jpg,전라북도 군산,"군산3.1운동기념관,구암교회,전시관"
군산공설시장,http://tong.visitkorea.or.kr/cms2/website/90/2015690.jpg,전라북도 군산시,"군산공설시장,공설시장,군산 시장,전통시장,군산,시장,분식점"
군산공항,http://tong.visitkorea.or.kr/cms2/website/59/2015759.jpg,전라북도 군산시,"군산공항,공항,군산"
군산근대역사박물관,http://tong.visitkorea.or.kr/cms2/website/84/2811984.jpg,전라북도 군산시 장미동,"군산근대역사박물관,전라북도 군산시,전시관,군산 근대시간여행 코스"
군산시 농특산물 홍보갤러리,http://tong.visitkorea.or.kr/cms2/website/48/1793948.jpg,전라북도 군산,"군산시 농특산물 홍보갤러리,판매장,상점"
군산오름,http://tong.visitkorea.or.kr/cms2/website/94/2820394.jpg,제주특별자치도 서귀포시 안덕면,"군산오름,제주특별자치도 서귀포시,제주도 오름,제주오름,산책로,산책길,트레킹,트래킹,드론촬영,드론사진,항공촬영"
군산항,http://tong.visitkorea.or.kr/cms2/website/34/2812034.jpg,전라북도 군산시 장미동,"군산항,전라북도 군산시,항구,군산 내항 뜬다리 부두(부잔교),국가등록문화재 제719-1호,군산 근대시간여행 코스"
군위 화산마을 풍차전망대,http://tong.visitkorea.or.kr/cms2/website/35/2819835.jpg,경상북도 군위군 삼국유사면,"군위 화산마을 풍차전망대,경상북도 군위군,화산마을 전망대,군위 전망대,군위 화산산성 전망대,드론촬영,드론사진,항공촬영,파노라마"
군위 화산마을 하늘전망대,http://tong.visitkorea.or.kr/cms2/website/47/2819847.jpg,경상북도 군위군 삼국유사면,"군위 화산마을 하늘전망대,경상북도 군위군,화산마을 전망대,군위 전망대,군위 화산산성 하늘전망대,드론촬영,드론사진,항공촬영"
군창지,http://tong.visitkorea.or.kr/cms2/website/64/1831564.jpg,충청남도 부여,"군창지,부여 부소산성"
군탄공원,http://tong.visitkorea.or.kr/cms2/website/16/2593016.jpg,강원도 철원군 갈말읍,"군탄공원 가을,강원도 철원군,DMZ 관광,DMZ 투어,안보관광지,박정희장군 전역공원"
굴산사지 당간지주,http://tong.visitkorea.or.kr/cms2/website/20/1544620.jpg,강원도 강릉,"굴산사지 당간지주,보물86호,기둥"
굴양식장,http://tong.visitkorea.or.kr/cms2/website/09/1414209.jpg,부산광역시,"2011 제39회 관광사진 공모전,입선,굴양식장의 뱃길,어촌,바다,석양,노을"
굴전,http://tong.visitkorea.or.kr/cms2/website/41/1178441.jpg,경상남도 통영시,"굴전,부침류"
굽이굽이 단풍길,http://tong.visitkorea.or.kr/cms2/website/10/2504210.jpg,충청북도 단양군,"2017 제45회 대한민국 관광사진 공모전,대상,굽이굽이 단풍길,충청북도 단양군,보발재,드라이브코스,가을,추경"
굽이굽이 상라산길,http://tong.visitkorea.or.kr/cms2/website/98/1414498.jpg,전라남도 신안 흑산도,"2011 제39회 관광사진 공모전,입선,굽이굽이 상라산길,도로,흑산도,야경"
궁남지에 꽃이 피다,http://tong.visitkorea.or.kr/cms2/website/16/2620316.jpg,충청남도 부여군 부여읍,"2019 제47회 대한민국 관광사진 공모전,입선,궁남지에 꽃이 피다,충청남도 부여군,사적 제135호,궁남지 야경,연못,서동공원,포룡정,정자,불꽃놀이"
궁남지의 일몰,http://tong.visitkorea.or.kr/cms2/website/29/2620329.jpg,충청남도 부여군 부여읍,"2019 제47회 대한민국 관광사진 공모전,입선,궁남지의 일몰,충청남도 부여군,사적 제135호,궁남지 야경,연못,서동공원,포룡정,정자"
궁의 가을빛,http://tong.visitkorea.or.kr/cms2/website/41/2620341.jpg,경상북도 경주시 인왕동,"2019 제47회 대한민국 관광사진 공모전,입선,궁의 가을빛,경상북도 경주시,동궁과 월지 야경,사적 제18호,경주역사유적지구,유네스코 세계문화유산,유네스코 세계유산,임해전지,안압지 야경,연못"
궁전제과,http://tong.visitkorea.or.kr/cms2/website/40/2010440.jpg,광주광역시,"궁전제과,광주 궁전제과,광주 빵집,빵집,빵,베이커리,광주,케이크"
궁중김치,http://tong.visitkorea.or.kr/cms2/website/30/1875930.jpg,전라북도 전주시 ,"문화재청 김장문화 체험행사,김치,궁중김치,무동치미,김장,유네스코 세계무형유산"
권금성,http://tong.visitkorea.or.kr/cms2/website/06/2617306.jpg,강원도 속초시 설악동,"권금성,강원도 속초시,설악산국립공원,산성,설악케이블카,설악산 케이블카"
권금성 케이블카,http://tong.visitkorea.or.kr/cms2/website/89/1798689.jpg,강원도 속초시,"권금성 케이블카,설악산 국립공원"
규봉암의 봄,http://tong.visitkorea.or.kr/cms2/website/46/1961846.jpg,전라남도 화순군,"2014 제42회 대한민국 관광사진 공모전,입선,전남 화순,규봉암의 봄,규봉암,봄,무등산전라남도 화순군,전라남도화순군"
그 섬으로 가는 길...,http://tong.visitkorea.or.kr/cms2/website/73/2504273.jpg,충청남도 서산시 대산읍,"2017 제45회 대한민국 관광사진 공모전,입선,그 섬으로 가는 길…,충청남도 서산시,웅도 바다갈라짐,웅도 유두교,다리,밀물"
그랜드인터콘티넨탈호텔,http://tong.visitkorea.or.kr/cms2/website/49/1404149.jpg,서울 강남구,"그랜드인터콘티넨털호텔,숙박시설,호텔,FIT"
그린투모로우,http://tong.visitkorea.or.kr/cms2/website/81/1278581.jpg,경기도 용인,"용인 그린투모로우,제로에너지하우스,에코하우스,친환경주택,집 "
그림이 있는 정원,http://tong.visitkorea.or.kr/cms2/website/16/1606316.jpg,충청남도 홍성,"그림이 있는 정원,수목원,안내도"
극락(極樂),http://tong.visitkorea.or.kr/cms2/website/78/2620378.jpg,경상북도 경주시 진현동,"2019 제47회 대한민국 관광사진 공모전,극락(極樂),경상북도 경주시,불국사,사적 제502호,절,사찰,유네스코 세계문화유산,유네스코 세계유산,연등"
근정전,http://tong.visitkorea.or.kr/cms2/website/22/2029222.jpg,서울특별시 종로구 경복궁,"2015 제43회 대한민국 관광사진 공모전,입선,근정전,고궁,궁궐,경복궁,야경,문화유적지,문화재"
글램핑,http://tong.visitkorea.or.kr/cms2/website/77/2705577.jpg,대한민국,"글램핑,대한민국,한국,레저,캠핑장,야간 캠핑,모닥불"
금강,http://tong.visitkorea.or.kr/cms2/website/44/2047144.jpg,충청남도 공주시,"금강,충청남도 공주,강"
금강 철새,http://tong.visitkorea.or.kr/cms2/website/28/1990228.jpg,전라북도 ,"금강,금강하구,일몰,노을,석양,강,달"
금강공원,http://tong.visitkorea.or.kr/cms2/website/68/2012168.jpg,부산광역시,"금강공원,부산 금강공원,부산 공원,부산,잔디밭,바람개비"
금강공원 케이블카,http://tong.visitkorea.or.kr/cms2/website/16/2443416.jpg,부산광역시 동래구 온천동,"금강공원 케이블카,부산광역시 동래구,금정산,승강장,플랫폼"
금강문화관,http://tong.visitkorea.or.kr/cms2/website/08/1801008.jpg,충청남도 부여,"금강문화관,금강"
금강문화원,http://tong.visitkorea.or.kr/cms2/website/50/1792050.jpg,충청남도 부여,"금강문화원,전시관"
금강사,http://tong.visitkorea.or.kr/cms2/website/81/1126881.jpg,강원도 강릉,"강원도 오대산 금강사 대웅전,단풍,사찰,절,한옥"
금강산 구선봉과 해금강,http://tong.visitkorea.or.kr/cms2/website/08/2620308.jpg,강원도 고성군,"2019 제47회 대한민국 관광사진 공모전,입선,금강산 구선봉과 해금강,강원도 고성군,고성 DMZ 평화의 길,금강산 전망대"
금강산전기철도교량,http://tong.visitkorea.or.kr/cms2/website/41/2593041.jpg,강원도 철원군 철원읍,"금강산전기철도교량 가을,강원도 철원군,DMZ 관광,DMZ 투어,안보관광지,다리,대교,단풍,추경"
금강송 에코리움,http://tong.visitkorea.or.kr/cms2/website/65/2702765.jpg,경상북도 울진군 금강송면,"금강송 에코리움,경상북도 울진군,휴양림,산림욕장,드론촬영,드론사진,항공촬영,파노라마"
금강철새조망대,http://tong.visitkorea.or.kr/cms2/website/52/1988052.jpg,전라북도 군산시,"군산 근대문화코스,금강철새조망대,철새조망대,철새,철새도래지,군산세계철새축제,군산철새,전북철새"
금곡영화마을,http://tong.visitkorea.or.kr/cms2/website/66/2026266.jpg,전라남도 장성군,"금곡영화마을,전라남도,장성,영화마을,영화촬영지,드라마촬영지,금곡마을,농촌마을,농촌풍경"
금광관광농원,http://tong.visitkorea.or.kr/cms2/website/11/1047811.jpg,경기도 안성시,금광관광농원
금낭화,http://tong.visitkorea.or.kr/cms2/website/92/2012192.jpg,,"금낭화,꽃,봄"
금능으뜸원해변,http://tong.visitkorea.or.kr/cms2/website/06/2009206.jpg,제주도,"금능으뜸원해변,금능해변,해수욕장,해변,제주도,바다,여름,백사장,돌하르방,비양도"
금능해변,http://tong.visitkorea.or.kr/cms2/website/06/1960306.jpg,제주도,"2014 제42회 대한민국 관광사진 공모전,입선,금능해변,제주도 금능해변,금능,해변,제주도"
금당실 송림,http://tong.visitkorea.or.kr/cms2/website/65/1800365.jpg,경상북도 예천,"금당실송림,소나무,천연기념물"
금당실마을,http://tong.visitkorea.or.kr/cms2/website/74/1800274.jpg,경상북도 예천,"금당실마을,전통마을,민속마을"
금대정사,http://tong.visitkorea.or.kr/cms2/website/94/1989594.jpg,경상북도 청송군,"금대정사,청송 정사,재실,한옥"
금둔사,http://tong.visitkorea.or.kr/cms2/website/27/2003227.jpg,전라남도 순천,"금둔사,순천 금둔사,순천 사찰,절,매화,매실나무,꽃,봄,대웅전,석탑"
금백조로,http://tong.visitkorea.or.kr/cms2/website/24/2643224.jpg,제주특별자치도 서귀포시,"금백조로,제주특별자치도 서귀포시,제주도,드라이브 코스,자동차 도로,성산일출봉"
금산,http://tong.visitkorea.or.kr/cms2/website/52/1865452.jpg,경상남도 남해군,"금산,남해군,가을,단풍,1사 1탐방로"
금산사,http://tong.visitkorea.or.kr/cms2/website/36/1987936.jpg,전라북도 김제시,"금산사,전북 금산사,김제 금산사,금산사 겨울,사찰 겨울,전북 사찰,김제 사찰. 김제 겨울  "
금산사 설경,http://tong.visitkorea.or.kr/cms2/website/48/2029248.jpg,전라북도 김제시,"2015 제43회 대한민국 관광사진 공모전,입선,금산사 설경,전라북도,김제,금산사,사찰,절,설경,겨울,눈,감나무"
금산사 템플스테이,http://tong.visitkorea.or.kr/cms2/website/78/1158478.jpg,전라북도 김제,"금산사 템플스테이,스님,차담"
금산인삼관,http://tong.visitkorea.or.kr/cms2/website/33/1077733.jpg,충청남도 금산,금산인삼관
금산인삼시장,http://tong.visitkorea.or.kr/cms2/website/07/1081507.jpg,충청남도 금산,"금산인삼시장,특산물,쇼핑,전통시장"
금속활자,http://tong.visitkorea.or.kr/cms2/website/78/1887378.jpg,전라북도 전주시,"2013 중요무형문화재 보유자작품전,문화재청국립무형유산원,(사)한국무형유산진흥센터,월인청강지곡 금속활자,중요무형문화재 금속활자장 보유자 임인호,전라북도 전주시,전라북도전주시"
금시당,http://tong.visitkorea.or.kr/cms2/website/31/1837031.jpg,경상남도 밀양,"밀양 금시당,밀양 아리랑길 3코스"
금연거리,http://tong.visitkorea.or.kr/cms2/website/20/1801020.jpg,서울특별시 양재역,"금연거리,양재역"
금연저수지,http://tong.visitkorea.or.kr/cms2/website/57/2593057.jpg,강원도 철원군 동송읍,"금연저수지,강원도 철원군,DMZ 관광,DMZ 투어,안보관광지"
금오름,http://tong.visitkorea.or.kr/cms2/website/43/2703943.jpg,제주특별자치도 제주시 한림읍,"금오름,제주특별자치도 제주시,제주도오름,제주오름,분화구"
금오민속박물관,http://tong.visitkorea.or.kr/cms2/website/61/1057761.jpg,경상북도 구미시,금오민속박물관
금오산 돌탑,http://tong.visitkorea.or.kr/cms2/website/37/1056837.jpg,경상북도 구미시,금오산 돌탑
금오산 마애보살입상,http://tong.visitkorea.or.kr/cms2/website/00/1056800.jpg,경상북도 구미시,구미 금오산 마애보살입상
금오산 메타세콰이어길,http://tong.visitkorea.or.kr/cms2/website/47/1058247.jpg,경상북도 구미시,금오산 메타세콰이어길
금오산 약사암,http://tong.visitkorea.or.kr/cms2/website/10/1056110.jpg,경상북도 구미시,"구미 금오산 약사봉 약사암,사찰,절"
금오산 올레길,http://tong.visitkorea.or.kr/cms2/website/46/2684046.jpg,경상북도 구미시 남통동,"금오산 올레길,경상북도 구미시,금오산 저수지,금오지 둘레길,산책로,산책길,트레킹,트래킹,걷기여행,드론촬영,드론사진,항공촬영"
금오산성,http://tong.visitkorea.or.kr/cms2/website/41/1058441.jpg,경상북도 구미시,금오산성 
금오서원,http://tong.visitkorea.or.kr/cms2/website/94/1056994.jpg,경상북도 구미시,금오서원
금정산 휴정암,http://tong.visitkorea.or.kr/cms2/website/20/2443420.jpg,부산광역시 금정구 장전동,"금정산 휴정암,부산광역시 금정구,절,사찰"
급치산 전망대,http://tong.visitkorea.or.kr/cms2/website/83/993383.jpg,전남 진도,급치산 전망대
기도,http://tong.visitkorea.or.kr/cms2/website/00/2703100.jpg,대구광역시 달성군 유가읍,"2019 대구 관광사진 공모전,특별상,공사 사장상,기도,대구광역시 달성군,비슬산,대견사지 삼층석탑,일몰"
기독교한국침례회 국내 최초 예배지,http://tong.visitkorea.or.kr/cms2/website/05/2442505.jpg,충청남도 논산시 강경읍,"기독교한국침례회 국내 최초 예배지,충청남도 논산시,향토유적 제38호,전통 초가집"
기림사,http://tong.visitkorea.or.kr/cms2/website/64/976964.jpg,경상북도 경주,"기림사,천왕문,사찰,절"
기성동 삼층석탑,http://tong.visitkorea.or.kr/cms2/website/57/1054557.jpg,경상북도 칠곡군,기성동 삼층석탑
기와,http://tong.visitkorea.or.kr/cms2/website/24/1885524.jpg,전라북도 전주,"2013 중요무형문화재 보유자작품전,문화재청국립무형유산원,(사)한국무형유산진흥센터,기와,제와장 한형준,잡상,전라북도 전주시,전라북도전주시"
기원,http://tong.visitkorea.or.kr/cms2/website/85/2761585.jpg,전라남도 구례군 마산면,"2021 대한민국 관광공모전(스마트폰-봄),기원,전라남도 구례군,화엄사,사찰,사적 제505호,구례10경,구례십경,절,종교,불교,기도,기와,꽃 나무"
기장 연화리 포장마차촌,http://tong.visitkorea.or.kr/cms2/website/10/2554310.jpg,부산광역시 기장군 기장읍,"기장 연화리 포장마차촌,부산광역시 기장군,기장 포장마차촌,기장 연화리 해녀촌,기장 연화리 어시장"
기장시장,http://tong.visitkorea.or.kr/cms2/website/64/2549564.jpg,부산광역시 기장군 기장읍,"기장시장,부산광역시 시장군,재래시장,전통시장,상설시장,좌판"
기차타고 제주여행,http://tong.visitkorea.or.kr/cms2/website/38/1414438.jpg,제주도 에코랜드,"2011 제39회 관광사진 공모전,입선,기차타고 제주여행,에코랜드,리조트,갈대,가을"
기차팬션,http://tong.visitkorea.or.kr/cms2/website/13/1058713.jpg,강원도 정선군,"정선 기차팬션 안내문,숙박시설,팬션"
길상사,http://tong.visitkorea.or.kr/cms2/website/82/1364382.jpg,충청북도 진천,"길상사,김유신장군 사당,홍살문"
길의 끝에서 길을 만나다,http://tong.visitkorea.or.kr/cms2/website/68/2620368.jpg,전라남도 순천시,"2019 제47회 대한민국 관광사진 공모전,입선,길의 끝에서 길을 만나다,전라남도 순천시,순천만습지,순천만자연생태공원,명승 제41호,생태관광"
김광석 길(김광석 다시그리기 길),http://tong.visitkorea.or.kr/cms2/website/84/2556884.jpg,대구광역시 중구 대봉동,"김광석 길(김광석 다시그리기 길),대구광역시 중구,김광석 거리,벽화거리,이색거리"
김녕요트투어,http://tong.visitkorea.or.kr/cms2/website/86/1845586.jpg,제주,"김녕 요트투어,제주,돌고래"
김달진 생가,http://tong.visitkorea.or.kr/cms2/website/06/1590406.jpg,경상남도 진해,"김달진문학관,생가,시인 월하,안내문"
김달진문학관,http://tong.visitkorea.or.kr/cms2/website/27/1590227.jpg,경상남도 진해,"김달진문학관,전시관,시인 월하"
김대건신부유적지,http://tong.visitkorea.or.kr/cms2/website/75/1883175.jpg,충청남도 당진시,"김대건신부유적지,김대건 안드레아 신부,솔뫼성지,충청남도 당진시,충청남도당진시"
김대중컨벤션센터,http://tong.visitkorea.or.kr/cms2/website/87/1441987.jpg,광주광역시,"김대중컨벤션센터,김대중"
김룡사,http://tong.visitkorea.or.kr/cms2/website/12/1041912.jpg,경상북도 문경,"김룡사,사찰,절"
김삿갓 계곡,http://tong.visitkorea.or.kr/cms2/website/77/2780077.jpg,강원도 영월군 김삿갓면,"김삿갓 계곡,강원도 영월군,가을,추경,단풍,드론촬영,드론사진,항공촬영"
김삿갓체험,http://tong.visitkorea.or.kr/cms2/website/28/1414228.jpg,강원도 영월군 김삿갓면 ,"2011 제39회 관광사진 공모전,입선,김삿갓 체험,김삿갓마을,체험관광,FIT"
김성수선생 옛집,http://tong.visitkorea.or.kr/cms2/website/83/1005783.jpg,서울 ,"북촌한옥마을,김성수선생 옛집,장독대,항아리 "
김시습기념관,http://tong.visitkorea.or.kr/cms2/website/91/1684891.jpg,강원도 강릉,"김시습기념관,전시관"
김씨박물관,http://tong.visitkorea.or.kr/cms2/website/45/1584845.jpg,경상남도 진해,"김씨박물관,근대사박물관,전시관"
김양 묘,http://tong.visitkorea.or.kr/cms2/website/22/2483422.jpg,경상북도 경주시 서악동,"김양 묘,경상북도 경주시,무덤,능,릉"
김영갑갤러리 두모악,http://tong.visitkorea.or.kr/cms2/website/68/1923568.jpg,제주도,"김영갑갤러리,두모악,두모악 미술관,김영갑미술관,제주도 전시관,갤러리,김영갑 갤러리 입구,제주도"
김영삼 대통령 기록전시관,http://tong.visitkorea.or.kr/cms2/website/26/2440526.jpg,경상남도 거제시 장목면,"김영삼대통령기록전시관,경상남도 거제시"
김영삼 대통령 생가,http://tong.visitkorea.or.kr/cms2/website/97/2440497.jpg,경상남도 거제시 장목면,"김영삼대통령생가,경상남도 거제시,전통한옥,고택"
김원일의 마당깊은집,http://tong.visitkorea.or.kr/cms2/website/15/2804415.jpg,대구광역시 중구 계산동2가,"김원일의 마당깊은집,대구광역시 중구,체험관광지,문학 체험전시관,대구 근대골목투어,대구 중구 근대로의 여행,근대문화골목"
김유신묘,http://tong.visitkorea.or.kr/cms2/website/38/2483438.jpg,경상북도 경주시 충효동,"김유신 묘,경상북도 경주시,사적 제21호,무덤,능,릉,고분,숭무전,사당"
